14.12281,'-13.58424,310.8,0.44,0.46,2024-04-16,251,N,VIIRS,n,2.0NRT,297.99,1.47,N
14.53586,'-12.86425,309.63,0.48,0.48,2024-04-16,251,N,VIIRS,n,2.0NRT,297.07,1.66,N
15.17074,'-11.45767,344.71,0.58,0.52,2024-04-16,251,N,VIIRS,n,2.0NRT,299.08,4.3,N
15.18263,'-11.41639,310.56,0.58,0.52,2024-04-16,251,N,VIIRS,n,2.0NRT,295.24,3.28,N
8.42236,'-11.29035,309.38,0.39,0.59,2024-04-16,253,N,VIIRS,n,2.0NRT,289.32,1.32,N
'-37.45779,142.19257,336.33,0.38,0.58,2024-04-16,336,N,VIIRS,n,2.0NRT,280.33,4.43,D
'-37.4513,142.21121,208,0.37,0.58,2024-04-16,336,N,VIIRS,l,2.0NRT,324.21,80.88,D
'-37.32162,145.69415,326.84,0.48,0.48,2024-04-16,336,N,VIIRS,n,2.0NRT,288.64,4.41,D
'-37.01641,142.22757,350.42,0.37,0.58,2024-04-16,336,N,VIIRS,n,2.0NRT,295.92,5.91,D
'-36.95526,141.94934,338.71,0.38,0.59,2024-04-16,336,N,VIIRS,n,2.0NRT,298.14,3.25,D
'-36.94162,142.57704,347.22,0.35,0.57,2024-04-16,336,N,VIIRS,n,2.0NRT,291.68,9.28,D
'-36.9131,142.00401,367,0.38,0.59,2024-04-16,336,N,VIIRS,h,2.0NRT,297.16,17.61,D
'-36.88758,141.5023,367,0.4,0.6,2024-04-16,336,N,VIIRS,h,2.0NRT,296.3,12.53,D
'-36.8772,141.50011,340.48,0.41,0.6,2024-04-16,336,N,VIIRS,n,2.0NRT,296.54,8.16,D
'-36.8049,144.06886,340.75,0.58,0.52,2024-04-16,336,N,VIIRS,n,2.0NRT,294.24,6.47,D
'-36.79693,142.74835,367,0.35,0.56,2024-04-16,336,N,VIIRS,h,2.0NRT,296.78,22.31,D
'-36.76368,141.43303,328.54,0.41,0.6,2024-04-16,336,N,VIIRS,n,2.0NRT,294.99,5.17,D
'-36.70338,141.91727,336.12,0.38,0.59,2024-04-16,336,N,VIIRS,n,2.0NRT,291.59,8.23,D
'-36.68607,142.58409,351.21,0.35,0.57,2024-04-16,336,N,VIIRS,n,2.0NRT,294.83,14.43,D
'-36.68269,143.12306,367,0.33,0.55,2024-04-16,336,N,VIIRS,h,2.0NRT,296.23,4.77,D
'-36.63405,143.94572,329.03,0.59,0.53,2024-04-16,336,N,VIIRS,n,2.0NRT,293.27,6.09,D
'-36.57889,142.17799,342.18,0.37,0.58,2024-04-16,336,N,VIIRS,n,2.0NRT,293.5,5.31,D
'-36.44429,146.02057,336.71,0.46,0.47,2024-04-16,336,N,VIIRS,n,2.0NRT,296.67,22.55,D
'-36.16848,146.38014,335.15,0.43,0.46,2024-04-16,336,N,VIIRS,n,2.0NRT,296.31,9.11,D
'-36.09209,141.73552,367,0.39,0.59,2024-04-16,338,N,VIIRS,h,2.0NRT,297.89,67.04,D
'-35.86026,147.10434,338.5,0.39,0.44,2024-04-16,338,N,VIIRS,n,2.0NRT,298.39,3.56,D
'-35.72048,145.91759,352.15,0.45,0.47,2024-04-16,338,N,VIIRS,n,2.0NRT,300.78,24.07,D
'-35.62239,147.85135,343.48,0.54,0.42,2024-04-16,338,N,VIIRS,n,2.0NRT,294.5,10.55,D
'-35.4507,146.30016,352.47,0.43,0.46,2024-04-16,338,N,VIIRS,n,2.0NRT,303.43,21.76,D
'-35.35895,148.79774,332.78,0.49,0.4,2024-04-16,338,N,VIIRS,n,2.0NRT,293.82,15.39,D
'-35.25584,146.41159,343.19,0.42,0.45,2024-04-16,338,N,VIIRS,n,2.0NRT,297.74,12.3,D
'-35.24035,147.08664,335.97,0.39,0.44,2024-04-16,338,N,VIIRS,n,2.0NRT,299.13,4.51,D
'-35.14162,146.63307,367,0.41,0.45,2024-04-16,338,N,VIIRS,l,2.0NRT,330.51,120.43,D
'-35.02597,137.364,352.7,0.66,0.73,2024-04-16,338,N,VIIRS,n,2.0NRT,304.4,55.39,D
'-34.90783,147.33287,341.17,0.56,0.43,2024-04-16,338,N,VIIRS,n,2.0NRT,306.57,103.96,D
'-34.85028,147.2921,339.33,0.56,0.43,2024-04-16,338,N,VIIRS,n,2.0NRT,298.38,12.8,D
'-34.67294,148.17938,332.7,0.51,0.41,2024-04-16,338,N,VIIRS,n,2.0NRT,301.05,9.48,D
'-34.61766,148.46463,332.06,0.49,0.41,2024-04-16,338,N,VIIRS,n,2.0NRT,300.8,4.23,D
'-34.55075,148.21446,347.12,0.51,0.41,2024-04-16,338,N,VIIRS,n,2.0NRT,301.36,35.79,D
'-34.52765,147.20641,333.19,0.56,0.43,2024-04-16,338,N,VIIRS,n,2.0NRT,299.79,4.45,D
53.44193,34.4185,316.46,0.36,0.57,2024-04-16,58,N,VIIRS,n,2.0NRT,277.85,2.85,N
48.52143,34.62837,301.47,0.54,0.68,2024-04-16,100,N,VIIRS,n,2.0NRT,282.8,1.1,N
50.79781,19.19109,319.5,0.4,0.37,2024-04-16,100,N,VIIRS,n,2.0NRT,282.09,1.71,N
41.17767,32.63091,299.51,0.78,0.78,2024-04-16,102,N,VIIRS,n,2.0NRT,278.6,1.35,N
43.23289,27.59404,301.19,0.4,0.6,2024-04-16,102,N,VIIRS,n,2.0NRT,283.22,0.85,N
43.44971,4.89408,297.46,0.5,0.49,2024-04-16,102,N,VIIRS,n,2.0NRT,283.17,1.04,N
44.1596,18.05815,299.85,0.44,0.38,2024-04-16,102,N,VIIRS,n,2.0NRT,282.82,0.71,N
44.8219,22.73947,305.97,0.43,0.46,2024-04-16,102,N,VIIRS,n,2.0NRT,286.08,1.27,N
45.38142,11.95085,298.49,0.41,0.37,2024-04-16,102,N,VIIRS,n,2.0NRT,288.07,0.59,N
46.05941,23.20857,297.44,0.42,0.45,2024-04-16,102,N,VIIRS,n,2.0NRT,282.8,0.57,N
26.70244,12.45105,329.3,0.46,0.39,2024-04-16,105,N,VIIRS,n,2.0NRT,289.91,2.84,N
27.72569,9.87679,310.04,0.39,0.36,2024-04-16,105,N,VIIRS,n,2.0NRT,286.12,0.68,N
28.05558,19.90816,320.83,0.38,0.59,2024-04-16,105,N,VIIRS,n,2.0NRT,276.29,3,N
28.55892,7.46166,327.2,0.41,0.37,2024-04-16,105,N,VIIRS,n,2.0NRT,283.68,1.64,N
28.63818,7.61464,320.04,0.4,0.37,2024-04-16,105,N,VIIRS,n,2.0NRT,283.88,1.69,N
28.89201,9.96938,297.78,0.39,0.36,2024-04-16,105,N,VIIRS,n,2.0NRT,282.74,0.57,N
30.2582,8.08593,299.57,0.4,0.37,2024-04-16,105,N,VIIRS,n,2.0NRT,286.95,0.93,N
31.18694,6.78732,343.15,0.45,0.39,2024-04-16,105,N,VIIRS,n,2.0NRT,288.16,7.67,N
35.3488,5.75859,306.31,0.55,0.43,2024-04-16,105,N,VIIRS,n,2.0NRT,281.33,1.42,N
39.53841,'-1.14935,299.03,0.47,0.64,2024-04-16,105,N,VIIRS,n,2.0NRT,281.98,5.94,N
